Dates,feature1_1_period,feature1_5_period,feature1_21_period,feature2_1_period,feature2_5_period,feature2_21_period,feature3_1_period,feature3_5_period,feature3_21_period,feature4_1_period,feature4_5_period,feature4_21_period,feature5_1_period,feature5_5_period,feature5_21_period,feature6_1_period,feature6_5_period,feature6_21_period,feature7_1_period,feature7_5_period,feature7_21_period,feature8_1_period,feature8_5_period,feature8_21_period,feature9_1_period,feature9_5_period,feature9_21_period,feature10_1_period,feature10_5_period,feature10_21_period,feature11_1_period,feature11_5_period,feature11_21_period,feature12_1_period,feature12_5_period,feature12_21_period,feature13_1_period,feature13_5_period,feature13_21_period,feature14_1_period,feature14_5_period,feature14_21_period,feature15_1_period,feature15_5_period,feature15_21_period,feature16_1_period,feature16_5_period,feature16_21_period,feature17_1_period,feature17_5_period,feature17_21_period,feature18_1_period,feature18_5_period,feature18_21_period,feature19_1_period,feature19_5_period,feature19_21_period,feature20_1_period,feature20_5_period,feature20_21_period
2013-05-24,0.004773269689737347,-0.002960331557134488,-0.03273980470993687,-0.005632480638347759,0.04488286066584468,0.016798656107511523,-0.0010610079575595899,-0.01947510935221819,0.005446390431439685,-7725.0,7063.0,12764.0,1260.0,2870.0,398816.0,,,,-0.09999999999999432,-0.5519999999999925,0.9560000000000031,-0.08000000000000007,1.540000000000001,0.370000000000001,0.02300000000000013,0.05039999999999978,-0.025100000000000122,-0.0018000000000000238,-0.003699999999999981,-0.011099999999999999,-5.0,-7.0,3.0,0.0007000000000000062,0.005400000000000016,0.022300000000000014,0.0,0.0,-54.0,,,,,,,,,,,,,,,,,,,,,
2013-05-27,,,,,,,,,,,,,,,,,,,0.0,-0.036000000000001364,1.1980000000000075,,,,-0.1200000000000001,-0.04960000000000031,-0.16920000000000002,-0.0011999999999999789,-0.0041999999999999815,-0.014099999999999946,,,,0.0,0.009300000000000003,0.036000000000000004,0.0,0.0,-32.0,,,,,,,,,,,,,,,,,,,,,
2013-05-28,-0.0071258907363420665,-0.005353955978584124,-0.03686635944700467,-0.014869011092754292,0.020537897310513475,0.005298651252408471,0.009134360063728142,-0.01757832695688133,0.021612903225806557,29812.0,40229.0,30639.0,-2865.0,1295.0,414285.0,4752.0,-31921.0,-98678.0,0.3999999999999915,0.23599999999999,1.9529999999999887,0.4900000000000002,1.4600000000000009,0.870000000000001,0.12460000000000004,0.036799999999999944,-0.030600000000000183,-0.0037000000000000366,-0.00830000000000003,-0.016199999999999992,-1.0,-10.0,1.0,0.04100000000000001,0.0542,0.08100000000000002,-11.0,-11.0,-42.0,-1074.0,-8659.0,-6182.0,,,,,,,,,,,,,28509.0,-9942.0,-7921.0,327.0,1067.0,39217.0
2013-05-29,-0.0029904306220094323,-0.011269276393831462,-0.046883933676386325,-0.006229036895064821,-0.010496183206107013,-0.05555555555555569,-0.019787390800968474,-0.03150998336106492,-0.014497354497354564,-13354.0,-5204.0,25055.0,-3675.0,-6456.0,418395.0,,,,-0.4399999999999977,-0.6920000000000073,1.9140000000000015,0.34999999999999964,1.4600000000000009,1.1199999999999992,-0.036799999999999944,0.0389999999999997,-0.06620000000000026,-0.008500000000000008,-0.014000000000000012,-0.025900000000000034,-2.0,-11.0,-2.0,0.0049000000000000155,0.046800000000000036,0.08570000000000003,16.0,5.0,-26.0,,,,,,,,,,,,,,,,,,,,,
2013-05-30,-0.0011997600479906056,0.0,-0.05772495755517848,-0.030135004821600808,-0.03893932154801727,-0.0736817867833296,0.0051540856866745255,-0.007106491302503182,0.0016049646907767556,-24213.0,-20257.0,27766.0,-7337.0,-13617.0,414665.0,,,,-0.617999999999995,-0.7579999999999956,1.558000000000007,-0.3000000000000007,0.7099999999999991,1.0099999999999998,0.050200000000000244,0.04100000000000037,-0.0005999999999999339,-0.00019999999999997797,-0.015400000000000025,-0.02579999999999999,-6.0,-15.0,-8.0,0.0,0.04660000000000003,0.09350000000000003,-1.0,4.0,-29.0,,,,,,,,,,,,,,,,,,,,,
2013-05-31,-0.006006006006005871,-0.01252983293556087,-0.04500865551067501,-0.009694258016405555,-0.06500821403426427,-0.07905686546463242,-0.01751949578036538,-0.02419098143236076,0.010326266066132073,40156.0,24676.0,23071.0,-11485.0,-24102.0,-19264.0,,,,0.3329999999999984,-0.32500000000000284,1.1509999999999962,1.7700000000000014,2.2300000000000004,1.8100000000000005,-0.05520000000000014,-0.0371999999999999,-0.011200000000000099,-0.006699999999999984,-0.020299999999999985,-0.030200000000000005,-4.0,-18.0,-11.0,0.00019999999999997797,0.0461,0.0975,0.0,4.0,-9.0,,,,,,,,,,,,,,,,,,,,,
2013-06-03,-0.007250755287009136,-0.02434679334916867,-0.06647727272727277,0.001757028112449932,-0.05805994807646919,-0.008447204968944133,0.016092203979558573,-0.0074349442379182396,-0.005745292052345863,-8140.0,24261.0,589.0,-7589.0,-32951.0,-28092.0,,,,-0.7189999999999941,-1.043999999999997,0.5310000000000059,-0.019999999999999574,2.290000000000001,2.6900000000000013,-0.005599999999999827,0.07720000000000038,0.037000000000000366,0.003699999999999981,-0.015400000000000025,-0.027100000000000013,-4.0,-17.0,-16.0,-0.0019000000000000128,0.04419999999999999,0.0756,-36.0,-32.0,-45.0,,,,,,,,,,,,,,,,,,,,,
2013-06-04,-0.003043213633597164,-0.020334928229665095,-0.06560182544209936,0.0017539463793536658,-0.042165788212745636,-0.010640930462756826,-0.001498127340823996,-0.01789285338385438,-0.024056061081476843,-8938.0,-14489.0,5517.0,-3454.0,-33540.0,-31421.0,-3497.0,-31121.0,-89600.0,0.11299999999999955,-1.3309999999999889,0.45400000000000773,-0.010000000000001563,1.7899999999999991,3.42,-0.010000000000000231,-0.057399999999999896,-0.04620000000000024,-0.0015999999999999903,-0.013299999999999979,-0.027600000000000013,-3.0,-19.0,-20.0,0.006000000000000005,0.009199999999999986,0.0854,17.0,-4.0,-28.0,830.0,-10799.0,-6772.0,,,,,,,,,,,,,12529.0,26764.0,9800.0,-337.0,344.0,32434.0
2013-06-05,0.0,-0.01739652069586095,-0.08029197080291972,0.0007503751875939102,-0.03543876567020232,-0.0024931438544003592,0.004608294930875445,0.006549983893482159,-0.02516638935108151,6956.0,5821.0,5267.0,-11770.0,-41635.0,-41586.0,,,,-0.17500000000001137,-1.0660000000000025,0.340999999999994,1.2300000000000004,2.67,4.84,0.015000000000000124,-0.005599999999999827,-0.03960000000000008,0.0010000000000000009,-0.00379999999999997,-0.02789999999999998,-5.0,-22.0,-25.0,-0.011799999999999977,-0.007500000000000007,0.06560000000000002,-16.0,-36.0,-43.0,,,,,,,,,,,,,,,,,,,,,
2013-06-06,0.006105006105006083,-0.010210210210210069,-0.06575963718820865,-0.043489127718070564,-0.048719860800397696,-0.023724489795918347,0.010881160657136846,0.012285012285012442,-0.008993934323363262,39962.0,69996.0,51135.0,-17128.0,-51426.0,-56008.0,,,,-1.056999999999988,-1.5049999999999955,-0.35899999999999466,-0.870000000000001,2.0999999999999996,3.799999999999999,-0.034600000000000186,-0.09040000000000026,-0.03440000000000021,-0.00020000000000003348,-0.0038000000000000256,-0.028700000000000003,0.0,-16.0,-25.0,0.0020000000000000018,-0.005500000000000005,0.06740000000000002,0.0,-35.0,-43.0,,,,,,,,,,,,,,,,,,,,,
